	a	i	u	e	o
(empty)	1g	1b	2c	5g	3f
k	6d	2h	1c	1f	1h
s	2g	5a	4h	6c	5d
t	2f	2d	2b	5c	5f
n	3e	1i	4b	4g	1e
h	3a	6a	6f	1d	3b
m	3c	6e	4i	4a	5b
y	6b		5e		3d
r	2e	2a	4d	4f	4c
w	4e				6g
n	1a				
voice mark	6h				
plosive	6i				
